Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2023-02-10,58848.71875,58942.277921303656,58380.922893481715,58568.041236089026,44786
2023-02-13,58848.71875,58942.277921303656,58287.36372217806,58848.71875,59395
2023-02-14,59129.390625,59784.3047616693,59129.390625,59503.627274525315,70606
2023-02-15,58193.8046875,59784.310603396305,58006.68634445338,59784.310603396305,58370
2023-02-16,59597.19140625,59597.19140625,58380.92219387755,58474.48136406005,41448
2023-02-17,58568.046875,59222.961137180515,58380.928514376996,58848.72441593451,28613
2023-02-20,58661.59765625,58942.27515699761,57819.56515400718,58848.715990081735,29846
2023-02-21,58100.24609375,58755.16030092592,58006.68692129629,58661.60112847222,60971
2023-02-22,57164.66015625,57819.57442972586,57071.10097432487,57538.89688395049,39178
2023-02-23,58006.6796875,58474.47549143145,57538.883883568546,57726.00220514113,37145
2023-02-24,57351.7734375,58568.04269473899,57351.7734375,58287.36517383769,50792
2023-02-27,56603.30078125,56883.978305785124,56322.623256714876,56883.978305785124,11155697
2023-02-28,56696.85546875,57445.32880827146,56603.29630130982,56883.97380363037,13715861
2023-03-02,56883.97265625,57819.56431178043,56603.295159590874,56977.531821803044,13095682
2023-03-03,56603.30078125,57258.21500516529,56603.30078125,57071.09665547521,10711405
2023-03-06,57538.88671875,57632.44588414634,56883.972560975606,57164.65005716463,13630602
2023-03-07,56790.4140625,57445.3282279654,56790.4140625,57445.3282279654,11473280
2023-03-08,56416.1796875,56603.29802808872,56041.94300632255,56229.06134691128,14161857
2023-03-09,56229.06640625,56883.98065723794,56041.948048824874,56603.30312110025,14334499
2023-03-10,55667.70703125,55854.82537421219,55293.47034532563,55667.70703125,11902471
2023-03-13,56135.50390625,56322.62225260417,55480.589694010414,56041.944733072916,12779724
2023-03-14,55199.91015625,55667.70600503178,55199.91015625,55574.146835275424,12147346
2023-03-15,55948.38671875,56416.18259432483,55761.26836852007,56135.50506897993,10482149
2023-03-16,56041.94921875,56322.62676074708,55293.475773424456,55387.03495409015,10611939
2023-03-17,57351.7734375,57351.7734375,56696.85922206362,56883.97756933116,14090110
2023-03-20,56322.61328125,57258.204863995015,56322.61328125,57164.64570572052,9618009
2023-03-21,56416.1796875,56790.41636867745,56229.06134691128,56603.29802808872,8318514
2023-03-22,57164.66015625,57258.21933817512,56603.30506469926,57071.10097432487,8978591
2023-03-23,58287.3671875,58287.3671875,56696.86118077849,56696.86118077849,15381057
2023-03-24,58942.28125,59222.9587797619,58287.367013888885,58661.60372023809,18278602
2023-03-27,58100.24609375,58755.16030092592,58006.68692129629,58568.04195601852,11039331
2023-03-28,58848.71875,58848.71875,58100.24537957075,58380.922893481715,11614118
2023-03-29,58661.59765625,58661.59765625,58193.801821670655,58474.479322418265,11216008
2023-03-30,59471.80078125,59942.30553426622,59377.69983064676,59942.30553426622,15684377
2023-03-31,60224.6171875,60224.6171875,59942.31429443359,60224.6171875,14094479
2023-04-03,59377.7109375,60224.61965134707,59283.60996929477,60224.61965134707,11973133
2023-04-04,59848.21484375,60036.41677722091,59095.40710986635,59660.01291027909,11120514
2023-04-05,60130.5234375,60224.62441314554,59660.0185592723,59942.32148620892,9176149
2023-04-06,58624.90234375,59848.21491272071,58624.90234375,59754.1139458768,14992747
2023-04-07,61165.62109375,61353.823004807695,60036.409627403846,60036.409627403846,27476120
2023-04-10,61824.328125,62388.93386130137,60883.31856449772,60977.41952054795,18777166
2023-04-11,62012.54296875,62294.8458957701,61542.038090383154,62294.8458957701,16323183
2023-04-12,62106.6328125,62294.83473011364,61447.92610085227,61918.43089488636,15021313
2023-04-13,62200.734375,62200.734375,61542.02765695915,61730.22957639939,15091022
2023-04-14,61259.73046875,62671.24499567973,61165.62950028802,62671.24499567973,16176490
2023-04-17,61447.921875,61730.22473200612,60883.31616098775,61165.61901799387,13486618
2023-04-18,61730.234375,62106.638243140245,60977.42663871952,62012.537276105184,14802060
2023-04-19,61636.1328125,61918.435710877864,61447.930880248095,61636.1328125,10255985
2023-04-20,61447.921875,61447.921875,60789.21520865237,61259.71997032925,9501169
2023-04-21,61824.328125,62012.530037100456,61542.025256849316,61918.42908105023,10538622
2023-04-24,61353.8203125,61824.3250694977,60977.41650690184,61447.92126389954,12986581
2023-04-25,59848.21484375,61542.03224498821,59660.01291027909,61447.93127825275,16193271
2023-04-26,60318.71875,60506.92068057723,59565.91102769111,59848.21392355695,12664541
2023-04-27,60789.21875,61165.62258126935,59565.90629837461,60318.713960913316,14779601
2023-04-28,61636.1328125,62012.536677003816,61165.62798187023,61353.829914122136,19699481
2023-05-02,61824.328125,62388.93386130137,61259.72238869863,62106.630993150684,14396948
2023-05-03,61542.03125,61730.233180428135,61071.52642392967,61259.7283543578,8876749
2023-05-04,61259.73046875,61824.33627952189,60883.32659490208,61730.235311059914,9791064
2023-05-08,62012.54296875,62388.94687144347,61542.038090383154,62388.94687144347,9405365
2023-05-09,61447.921875,61918.42663667687,61259.71997032925,61918.42663667687,9366861
2023-05-10,60789.21875,61636.12737035604,60506.91587654799,61636.12737035604,13057727
2023-05-11,60412.8203125,61259.72900846962,60412.8203125,60883.32514359424,11648905
2023-05-12,60318.71875,60789.22357644306,59848.21392355695,59942.314888845554,8693913
2023-05-15,60695.12109375,60789.22205668604,60130.515316133715,60318.71724200581,8172021
2023-05-16,61542.03125,62012.53607607033,61447.93028478593,61918.43511085627,12334657
2023-05-17,61165.62109375,62012.52969350961,60977.419182692305,62012.52969350961,10745504
2023-05-18,62294.83203125,62294.83203125,61824.327257600075,62106.63012179003,14431704
2023-05-19,64365.0546875,64365.0546875,63518.14607319079,63800.44894462719,20349345
2023-05-22,64459.16796875,64929.6728444343,63988.66309306569,64365.06699361314,14470308
2023-05-23,64365.0546875,64647.357558936405,64082.751816063595,64459.15564464546,8561643
2023-05-24,64459.16796875,64647.36991902372,63988.66309306569,64082.76406820255,8192896
2023-05-25,64741.45703125,65870.66849109739,64647.356076262724,65776.5675361101,14231160
2023-05-26,66152.984375,66247.0853485064,65400.17658694879,65682.479507468,19549511
2023-05-30,68034.9921875,68034.9921875,66999.88165629322,67093.98261367566,27476897
2023-05-31,67188.078125,68223.18857230393,66811.67432598039,68129.08762254902,25666087
2023-06-01,66717.59375,67376.30059943582,66435.2908145275,66717.59375,14669296
2023-06-02,67940.890625,67940.890625,67376.28488573407,67470.3858422784,12161798
2023-06-05,67470.390625,68411.40025714783,67188.08773535564,68411.40025714783,12686829
2023-06-07,66811.6875,67376.29330985916,66623.48556338028,67093.99040492957,14796613
2023-06-08,66717.59375,66717.59375,65870.68494358251,66247.08885754584,19165568
2023-06-09,67752.703125,68035.0060546875,66623.49140625,66905.7943359375,15050209
2023-06-12,66811.6875,68129.10105633803,66623.48556338028,67846.79815140845,12064287
2023-06-13,67752.703125,67940.905078125,67376.29921875,67470.4001953125,13227285
2023-06-14,67658.59375,67940.89664464534,66905.78603094576,67846.79567976356,12541046
2023-06-15,67282.1953125,68035.00309222027,67093.99336756993,67846.8011472902,13614994
